Month,Longitude,Latitude,Crime type
2014-11,-1.76257,53.810622,Burglary
2014-11,-1.765638,53.813252,Burglary
2014-11,-1.778286,53.805304,Burglary
2014-11,-1.73237,53.809758,Burglary
2014-11,-1.736099,53.810764,Burglary
2014-11,-1.729189,53.810866,Burglary
2014-11,-1.732041,53.806576,Burglary
2014-11,-1.738203,53.807048,Burglary
2014-11,-1.73756,53.807838,Burglary
2014-11,-1.740771,53.806694,Burglary
2014-11,-1.73913,53.806933,Burglary
2014-11,-1.7501,53.808386,Burglary
2014-11,-1.743065,53.804137,Burglary
2014-11,-1.733055,53.804628,Burglary
2014-11,-1.734523,53.803076,Burglary
2014-11,-1.734081,53.805718,Burglary
2014-11,-1.731715,53.805353,Burglary
2014-11,-1.72879,53.809166,Burglary
2014-11,-1.726352,53.808127,Burglary
2014-11,-1.840035,53.810804,Burglary
2014-11,-1.831089,53.81862,Burglary
2014-11,-1.83339,53.813078,Burglary
2014-11,-1.8329,53.817769,Burglary
2014-11,-1.834321,53.808001,Burglary
2014-11,-1.831774,53.806964,Burglary
2014-11,-1.829362,53.806277,Burglary
2014-11,-1.820229,53.804448,Burglary
2014-11,-1.823911,53.806287,Burglary
2014-11,-1.827602,53.805834,Burglary
2014-11,-1.824387,53.801372,Burglary
2014-11,-1.82153,53.798267,Burglary
2014-11,-1.829022,53.80412,Burglary
2014-11,-1.829022,53.80412,Burglary
2014-11,-1.831831,53.803926,Burglary
2014-11,-1.787923,53.800234,Burglary
2014-11,-1.802721,53.804556,Burglary
2014-11,-1.801204,53.804203,Burglary
2014-11,-1.787659,53.801429,Burglary
2014-11,-1.787659,53.801429,Burglary
2014-11,-1.784338,53.803464,Burglary
2014-11,-1.712551,53.798765,Burglary
2014-11,-1.721686,53.806328,Burglary
2014-11,-1.721686,53.806328,Burglary
2014-11,-1.713622,53.804313,Burglary
2014-11,-1.705783,53.802605,Burglary
2014-11,-1.734881,53.799194,Burglary
2014-11,-1.742148,53.797583,Burglary
2014-11,-1.735444,53.799115,Burglary
2014-11,-1.764007,53.798185,Burglary
2014-11,-1.76347,53.796324,Burglary
2014-11,-1.770078,53.801181,Burglary
2014-11,-1.752742,53.792923,Burglary
2014-11,-1.755422,53.794205,Burglary
2014-11,-1.755051,53.797835,Burglary
2014-11,-1.755422,53.794205,Burglary
2014-11,-1.749168,53.796636,Burglary
2014-11,-1.752528,53.79578,Burglary
2014-11,-1.755422,53.794205,Burglary
2014-11,-1.76065,53.798502,Burglary
2014-11,-1.757883,53.796376,Burglary
2014-11,-1.761724,53.796401,Burglary
2014-11,-1.762583,53.805598,Burglary
2014-11,-1.759166,53.800333,Burglary
2014-11,-1.745144,53.801742,Burglary
2014-11,-1.756962,53.808714,Burglary
2014-11,-1.759166,53.800333,Burglary
2014-11,-1.763195,53.804871,Burglary
2014-11,-1.759166,53.800333,Burglary
2014-11,-1.801415,53.798019,Burglary
2014-11,-1.803563,53.793313,Burglary
2014-11,-1.803563,53.793313,Burglary
2014-11,-1.804749,53.799427,Burglary
2014-11,-1.798101,53.79903,Burglary
2014-11,-1.796869,53.799495,Burglary
2014-11,-1.792639,53.798373,Burglary
2014-11,-1.799292,53.797611,Burglary
2014-11,-1.794961,53.798512,Burglary
2014-11,-1.816741,53.799832,Burglary
2014-11,-1.817924,53.79667,Burglary
2014-11,-1.815427,53.794887,Burglary
2014-11,-1.821017,53.79761,Burglary
2014-11,-1.816829,53.797046,Burglary
2014-11,-1.816994,53.79764,Burglary
2014-11,-1.814269,53.795721,Burglary
2014-11,-1.808392,53.796152,Burglary
2014-11,-1.814819,53.798481,Burglary
2014-11,-1.80845,53.79688,Burglary
2014-11,-1.816994,53.79764,Burglary
2014-11,-1.814764,53.797259,Burglary
2014-11,-1.776772,53.801454,Burglary
2014-11,-1.767717,53.79431,Burglary
2014-11,-1.779559,53.791258,Burglary
2014-11,-1.769123,53.795418,Burglary
2014-11,-1.772381,53.793708,Burglary
2014-11,-1.785613,53.797615,Burglary
2014-11,-1.715407,53.794044,Burglary
2014-11,-1.715407,53.794044,Burglary
2014-11,-1.720568,53.794083,Burglary
2014-11,-1.727005,53.796291,Burglary
2014-11,-1.722711,53.80065,Burglary
2014-11,-1.712158,53.796383,Burglary
2014-11,-1.714226,53.793529,Burglary
2014-11,-1.826773,53.797124,Burglary
2014-11,-1.82821,53.790879,Burglary
2014-11,-1.826773,53.797124,Burglary
2014-11,-1.821477,53.796604,Burglary
2014-11,-1.819933,53.795568,Burglary
2014-11,-1.82866,53.796084,Burglary
2014-11,-1.856098,53.794134,Burglary
2014-11,-1.850976,53.778884,Burglary
2014-11,-1.761603,53.790972,Burglary
2014-11,-1.765678,53.792481,Burglary
2014-11,-1.760511,53.790916,Burglary
2014-11,-1.757845,53.792466,Burglary
2014-11,-1.762265,53.792079,Burglary
2014-11,-1.762612,53.795109,Burglary
2014-11,-1.764503,53.788066,Burglary
2014-11,-1.776797,53.791082,Burglary
2014-11,-1.777181,53.790247,Burglary
2014-11,-1.771278,53.787126,Burglary
2014-11,-1.768991,53.788982,Burglary
2014-11,-1.770835,53.787611,Burglary
2014-11,-1.770835,53.787611,Burglary
2014-11,-1.782057,53.786643,Burglary
2014-11,-1.774783,53.787286,Burglary
2014-11,-1.781704,53.781438,Burglary
2014-11,-1.734865,53.784876,Burglary
2014-11,-1.73645,53.7863,Burglary
2014-11,-1.739891,53.784582,Burglary
2014-11,-1.737018,53.785285,Burglary
2014-11,-1.735843,53.783809,Burglary
2014-11,-1.739053,53.782656,Burglary
2014-11,-1.735416,53.77935,Burglary
2014-11,-1.725249,53.779246,Burglary
2014-11,-1.710883,53.787427,Burglary
2014-11,-1.712123,53.790351,Burglary
2014-11,-1.710883,53.787427,Burglary
2014-11,-1.719343,53.784257,Burglary
2014-11,-1.71404,53.785197,Burglary
2014-11,-1.715381,53.786602,Burglary
2014-11,-1.720658,53.789608,Burglary
2014-11,-1.719303,53.778864,Burglary
2014-11,-1.805766,53.786405,Burglary
2014-11,-1.805766,53.786405,Burglary
2014-11,-1.822402,53.782431,Burglary
2014-11,-1.824217,53.7838,Burglary
2014-11,-1.824217,53.7838,Burglary
2014-11,-1.822476,53.782872,Burglary
2014-11,-1.810593,53.782728,Burglary
2014-11,-1.809983,53.783527,Burglary
2014-11,-1.808375,53.783407,Burglary
2014-11,-1.823494,53.779035,Burglary
2014-11,-1.823423,53.781498,Burglary
2014-11,-1.810601,53.781056,Burglary
2014-11,-1.761415,53.789309,Burglary
2014-11,-1.765865,53.783332,Burglary
2014-11,-1.763018,53.784989,Burglary
2014-11,-1.761415,53.789309,Burglary
2014-11,-1.759679,53.787697,Burglary
2014-11,-1.763018,53.784989,Burglary
2014-11,-1.763599,53.781539,Burglary
2014-11,-1.749463,53.78018,Burglary
2014-11,-1.753028,53.780394,Burglary
2014-11,-1.750632,53.780119,Burglary
2014-11,-1.751929,53.781443,Burglary
2014-11,-1.750762,53.783832,Burglary
2014-11,-1.749463,53.78018,Burglary
2014-11,-1.755083,53.779401,Burglary
2014-11,-1.755083,53.779401,Burglary
2014-11,-1.797793,53.787237,Burglary
2014-11,-1.804265,53.782744,Burglary
2014-11,-1.801767,53.784601,Burglary
2014-11,-1.804387,53.782529,Burglary
2014-11,-1.797955,53.781934,Burglary
2014-11,-1.805733,53.773678,Burglary
2014-11,-1.806198,53.774865,Burglary
2014-11,-1.804498,53.778251,Burglary
2014-11,-1.801659,53.778588,Burglary
2014-11,-1.80867,53.781781,Burglary
2014-11,-1.807762,53.764594,Burglary
2014-11,-1.817555,53.77313,Burglary
2014-11,-1.822761,53.772824,Burglary
2014-11,-1.816626,53.770558,Burglary
2014-11,-1.790781,53.78718,Burglary
2014-11,-1.791767,53.787271,Burglary
2014-11,-1.785981,53.78194,Burglary
2014-11,-1.789395,53.779187,Burglary
2014-11,-1.785988,53.780664,Burglary
2014-11,-1.793159,53.778978,Burglary
2014-11,-1.779802,53.779628,Burglary
2014-11,-1.781069,53.775244,Burglary
2014-11,-1.772933,53.775814,Burglary
2014-11,-1.784993,53.77633,Burglary
2014-11,-1.787875,53.77363,Burglary
2014-11,-1.784993,53.77633,Burglary
2014-11,-1.767038,53.779802,Burglary
2014-11,-1.771521,53.775964,Burglary
2014-11,-1.769572,53.777146,Burglary
2014-11,-1.770027,53.779898,Burglary
2014-11,-1.772835,53.776991,Burglary
2014-11,-1.774804,53.777678,Burglary
2014-11,-1.767712,53.775902,Burglary
2014-11,-1.765201,53.774594,Burglary
2014-11,-1.708026,53.781354,Burglary
2014-11,-1.706731,53.782177,Burglary
2014-11,-1.708658,53.7822,Burglary
2014-11,-1.711002,53.778916,Burglary
2014-11,-1.717542,53.776703,Burglary
2014-11,-1.699873,53.773397,Burglary
2014-11,-1.701427,53.774686,Burglary
2014-11,-1.7152,53.772967,Burglary
2014-11,-1.750351,53.776281,Burglary
2014-11,-1.756744,53.775548,Burglary
2014-11,-1.754353,53.777062,Burglary
2014-11,-1.754479,53.773557,Burglary
2014-11,-1.754479,53.773557,Burglary
2014-11,-1.774268,53.767403,Burglary
2014-11,-1.772756,53.771984,Burglary
2014-11,-1.780911,53.767658,Burglary
2014-11,-1.785667,53.769231,Burglary
2014-11,-1.780911,53.767658,Burglary
2014-11,-1.783759,53.768571,Burglary
2014-11,-1.771337,53.773402,Burglary
2014-11,-1.77162,53.774535,Burglary
2014-11,-1.777629,53.77158,Burglary
2014-11,-1.790404,53.771504,Burglary
2014-11,-1.79318,53.771671,Burglary
2014-11,-1.788096,53.768929,Burglary
2014-11,-1.802659,53.76588,Burglary
2014-11,-1.799585,53.774414,Burglary
2014-11,-1.798168,53.772371,Burglary
2014-11,-1.797756,53.772937,Burglary
2014-11,-1.801504,53.77288,Burglary
2014-11,-1.801469,53.773896,Burglary
2014-11,-1.798168,53.772371,Burglary
2014-11,-1.798401,53.77132,Burglary
2014-11,-1.802164,53.771093,Burglary
2014-11,-1.802164,53.771093,Burglary
2014-11,-1.800657,53.769095,Burglary
2014-11,-1.802164,53.771093,Burglary
2014-11,-1.785534,53.768484,Burglary
2014-11,-1.757173,53.769545,Burglary
2014-11,-1.756658,53.76931,Burglary
2014-11,-1.757173,53.769545,Burglary
2014-11,-1.770294,53.767216,Burglary
2014-11,-1.77641,53.763947,Burglary
2014-11,-1.715323,53.768258,Burglary
2014-11,-1.730412,53.762199,Burglary
2014-11,-1.733045,53.768038,Burglary
2014-11,-1.721934,53.771176,Burglary
2014-11,-1.726491,53.767915,Burglary
2014-11,-1.727148,53.769678,Burglary
2014-11,-1.710308,53.762907,Burglary
2014-11,-1.710308,53.762907,Burglary
2014-11,-1.728245,53.766535,Burglary
2014-11,-1.730209,53.763124,Burglary
2014-11,-1.732177,53.758967,Burglary
2014-11,-1.742452,53.757803,Burglary
2014-11,-1.827371,53.769729,Burglary
2014-11,-1.841483,53.769174,Burglary
2014-11,-1.860275,53.766069,Burglary
2014-11,-1.853913,53.763473,Burglary
2014-11,-1.849221,53.760402,Burglary
2014-11,-1.776866,53.763732,Burglary
2014-11,-1.77669,53.762644,Burglary
2014-11,-1.776866,53.763732,Burglary
2014-11,-1.777275,53.763895,Burglary
2014-11,-1.776866,53.763732,Burglary
2014-11,-1.77744,53.76412,Burglary
2014-11,-1.776866,53.763732,Burglary
2014-11,-1.797337,53.768451,Burglary
2014-11,-1.796021,53.767739,Burglary
2014-11,-1.794873,53.763566,Burglary
2014-11,-1.792644,53.763437,Burglary
2014-11,-1.797308,53.764982,Burglary
2014-11,-1.799809,53.765534,Burglary
2014-11,-1.797308,53.764982,Burglary
2014-11,-1.781737,53.763399,Burglary
2014-11,-1.781737,53.763399,Burglary
2014-11,-1.799358,53.761507,Burglary
2014-11,-1.806287,53.762075,Burglary
2014-11,-1.797197,53.759849,Burglary
2014-11,-1.797197,53.759849,Burglary
2014-11,-1.795933,53.760881,Burglary
2014-11,-1.795933,53.760881,Burglary
2014-11,-1.795933,53.760881,Burglary
2014-11,-1.785494,53.75547,Burglary
2014-11,-1.78083,53.754104,Burglary
2014-11,-1.769364,53.75686,Burglary
2014-11,-1.742757,53.752662,Burglary
2014-11,-1.746142,53.749524,Burglary
2014-11,-1.751576,53.751378,Burglary
2014-11,-1.752744,53.753762,Burglary
2014-11,-1.743161,53.748592,Burglary
2014-11,-1.752744,53.753762,Burglary
